Titulo,Descripcion,Source,Link,Thumbnail,CleanDate
Inauguran el primer Centro de Autismo en el municipio de Juárez NL,El municipio de Juárez Nuevo León inauguró su primer Centro de Autismo y Trastornos Neurodiversos perteneciente al DIF municipal donde se dará atención...,Reporte Indigo,https://www.reporteindigo.com/reporte/inauguran-el-primer-centro-de-autismo-en-el-municipio-de-juarez-nl/,1hgY62pgafE_is8_5KDL0QBM9TbT83-bh,5/9/2024
El municipio de Juárez celebrará la Independencia con una gran fiesta,Los asistentes podrán disfrutar de una celebración llena de música y emoción con presentaciones en vivo de grandes artistas.,POSTA,https://www.posta.com.mx/nuevoleon/el-municipio-de-juarez-celebrara-la-independencia-con-una-gran-fiesta/vl1611007,14VAUNAfIvV0dpGwTNRHf_IiPzKUwElnI,6/9/2024
Anuncia alcalde elector de Juárez programa liquida y ahorra para ponerse al corriente con el pago del agua,Anuncia alcalde elector de Juárez Félix Arratia que llegó a un acuerdo con autoridades de agua de drenaje de Monterrey para beneficiar a aquellos...,Noticias Nuevo León,https://noticiasnuevoleon.com.mx/2024/09/anuncia-alcalde-elector-de-juarez-programa-liquida-y-ahorra-para-ponerse-al-corriente-con-el-pago-del-agua/,1adjafNbgYK3hJFZTe4zEHzG_kvNLCNdQ,9/9/2024
Realiza Félix Arratia trabajos de desmonte y limpieza de calles,Realiza Félix Arratia trabajos de desmonte y limpieza de calles. Sin ser gobierno aún el alcalde electo Félix Arratia realizó trabajos de desmonte y limpieza...,El Porvenir,https://elporvenir.mx/local/realiza-felix-arratia-trabajos-de-desmonte-y-limpieza-de-calles/771482,12T2N587mMpiBpRp0h9MuRHgQ4a49pEuj,12/9/2024
Félix Arratia elimina jefes auxiliares para combatir corrupción en Juárez NL,Las principales funciones de los comités serán: · Identificar necesidades prioritarias en su colonia. · Proponer soluciones y proyectos de mejora. · Supervisar...,POSTA,https://www.posta.com.mx/nuevoleon/felix-arratia-elimina-jefes-auxiliares-para-combatir-corrupcion-en-juarez-nl/vl1621234,1qzOVFTZhtaZfRe79-vx25LTv8Yv1eSsL,9/10/2024
Félix Arratia reducirá su sueldo; para generar recursos a Juárez NL,El sueldo del alcalde de Juárez y de los funcionarios de alto nivel disminuirá con el fin de generar recursos para el municipio.,ABCNoticias MX,https://abcnoticias.mx/local/2024/10/3/felix-arratia-reducira-su-sueldo-para-generar-recursos-juarez-nl-227920.html,1YF5EZzBh-qej-7Kusc7AhD362CfTNjGO,9/10/2024
Alcalde de Juárez NL se baja el sueldo… y ‘corta’ a aviadores,"Félix Arratia informó que bajó su sueldo de 90 a 70 mil pesos además de despedir a por lo menos 500 ""aviadores"" de la nómina municipal.",Reporte Indigo,https://www.reporteindigo.com/reporte/alcalde-de-juarez-nl-se-baja-el-sueldo-y-corta-a-aviadores/,1KFM0dafTlfPzvoDzmDtp4NaHPKPeBKx8,9/10/2024
¿Vives en Juárez y tienes adeudo en Agua y Drenaje? Checa esta información,La brigada Liquida Ahorra ofrece descuentos de hasta el 90% en adeudos de Agua y Drenaje en Juárez aplicable solo durante octubre 2024.,POSTA,https://www.posta.com.mx/nuevoleon/vives-en-juarez-y-tienes-adeudo-en-agua-y-drenaje-checa-esta-informacion/vl1619314,,9/10/2024
Juárez: Sincronizan semáforos para mejorar la vialidad,Juárez: Sincronizan semáforos para mejorar la vialidad. Para mejorar el tráfico en Juárez el alcalde Félix Arratia inició la sincronización de semáforos clave.,POSTA,https://www.posta.com.mx/nuevoleon/juarez-sincronizan-semaforos-para-mejorar-la-vialidad/vl1621991,1tKwU9JudJA2FckfzDwQnP0LIttAuprRU,9/10/2024
Avances en infraestructura y servicios públicos en Juárez Nuevo León,Las acciones diarias del gobierno municipal buscan crear un “Nuevo Juárez” donde los ciudadanos se sientan escuchados y atendidos. Este enfoque proactivo es...,POSTA,https://www.posta.com.mx/nuevoleon/avances-en-infraestructura-y-servicios-publicos-en-juarez-nuevo-leon/vl1621205,1DMu628dG4oGEyqaglF7_5A2uKavcdq9t,9/10/2024
Félix Arratia anuncia recuperación de vehículos robados en Juárez,El alcalde de Juárez Félix Arratia anunció avances significativos en la seguridad de la ciudad destacando la recuperación de varios vehículos robados en...,POSTA,https://www.posta.com.mx/nuevoleon/felix-arratia-anuncia-recuperacion-de-vehiculos-robados-en-juarez/vl1620943,1wTzn3M6qfDiFwqqO4nuLgTbmRGrDmSsa,9/10/2024
Juárez da paso hacia la sostenibilidad con arborización masiva,Durante su primera semana de gestión el alcalde declaró: “Ya estamos haciendo historia” al dar inicio a la plantación de más de 440 árboles nativos a lo largo...,POSTA,https://www.posta.com.mx/nuevoleon/juarez-da-paso-hacia-la-sostenibilidad-con-arborizacion-masiva/vl1620118,1TvcgbdzqrIJrFRXoyfKwz7PVBTo_blpF,9/10/2024
Designa Félix Arratia a Mauricio Gaviña como Secretario de Seguridad de Juárez,JUÁREZ Nuevo León.- El alcalde de Juárez Félix Arratia encabezó esta mañana la ceremonia de cambio de mando en las corporaciones de seguridad municipal...,POSTA,https://www.posta.com.mx/nuevoleon/designa-felix-arratia-a-mauricio-gavina-como-secretario-de-seguridad-de-juarez/v-vl1618853,10bdMg9ti6HKOi7gk2tFmvnl4bUvZq_Qa,9/10/2024
Félix Arratia ordena a nuevo secretario de seguridad proteger a Juárez,El alcalde de Juárez Félix Arratia encabezó esta mañana el cambio de mando de las corporaciones de seguridad municipal e instruyó al nuevo secretario a...,Noticias Nuevo León,https://noticiasnuevoleon.com.mx/2024/09/felix-arratia-ordena-a-nuevo-secretario-de-seguridad-proteger-a-juarez/,1iXSdRJXFWEr7guGt7MC-kX6qzcR7cAmg,9/10/2024
Pone Arratia municipio 'a la orden' y revive a Juárez,Félix Arratia rindió protesta como alcalde de Juárez Nuevo León y en el arranque de su trienio revivió la imagen del Benemérito de las Américas.,El Horizonte,https://www.elhorizonte.mx/nuevoleon/pone-arratia-municipio-a-la-orden-y-revive-a-juarez/3701222323,10SNu_hdnOMpVvpGU6gmtuIUVkvGpEUs5,9/10/2024
Félix Guadalupe Arratia Cruz esta listo para crea una nueva historia y ascender en Juárez,Félix Guadalupe Arratia Cruz rindió protesta como alcalde del municipio de Juárez destacando que su administración pondrá énfasis en la transparencia...,Noticias Nuevo León,https://noticiasnuevoleon.com.mx/2024/09/felix-guadalupe-arratia-cruz-esta-listo-para-crea-una-nueva-historia-y-ascender-en-juarez/,1OgdoI3iHiY3lu4APA3yETk12pOGos58c,9/10/2024
Asume Félix Arratia alcaldía de Juárez; promete un gobierno en orden,Félix Guadalupe Arratia Cruz tomó protesta como el alcalde de Juárez Nuevo León. Con 31 años se convierte en el primer presidente municipal de Movimiento...,POSTA,https://www.posta.com.mx/nuevoleon/asume-felix-arratia-alcaldia-de-juarez-promete-un-gobierno-en-orden/vl1618588,1pqVDOxRH_gqF8VpPSNxD0DtV9ZW4xPxZ,9/10/2024
Félix Arratia atiende a juarenses con más de 70 servicios gubernamentales,Félix Arratia alcalde de Juárez Nuevo León escucha y atiende las necesidades de los ciudadanos en un evento con más de 70 servicios gubernamentales.,POSTA,https://www.posta.com.mx/nuevoleon/felix-arratia-atiende-a-juarenses-con-mas-de-70-servicios-gubernamentales/vl1622775,1xxeasDrhsL8eBAjMdWq4YDjl_TPYnJof,9/10/2024
Instalarán 30 aulas móviles en el municipio de Juárez,El edil juarense Félix Arratia dio a conocer las principales problemáticas a resolver en este municipio.,POSTA,https://www.posta.com.mx/nuevoleon/instalaran-30-aulas-moviles-en-el-municipio-de-juarez/v-vl1622699,111pJFpJ1tf8RneueiZrK1EPl5rbI9yJV,9/10/2024
Félix inaugura biblioteca y atiende plantel,Cuadrillas municipales de Juárez llevaron a cabo trabajos de deshierbe limpieza pintura y renovación de sanitarios en la Escuela Secundaria #4 Astolfo...,La Política Online,https://www.lapoliticaonline.com/mexico/en-foco-mx/felix-inaugura-biblioteca-y-atiende-plantel/,1MhF67mKyIRPrLS3vJOLQsFSPCZozchYa,9/10/2024
Félix Arratia se compromete a mejorar seguridad de Juárez,Félix Arratia se compromete a mejorar seguridad de Juárez. El alcalde juarense visitó POSTA en donde aseguró que trabaja con las autoridades estatales y...,POSTA,https://www.posta.com.mx/nuevoleon/felix-arratia-se-compromete-a-mejorar-seguridad-de-juarez/v-vl1621493,1sHcNtia9ZFm6KQTMPgzKs9JZ6iFc_tFk,9/10/2024
Garantiza Juárez que no habrá cuotas para empresas negocios y restaurantes,El anuncio de la medida fue hecho por el alcalde del municipio de Juárez Félix Arratia.,POSTA,https://www.posta.com.mx/nuevoleon/garantiza-juarez-que-no-habra-cuotas-para-empresas-negocios-y-restaurantes/vl1620208,1o5e2GbypQOiO1PvtZTFQxinOPDrc8MXF,9/10/2024
Reduce Félix Arratia su sueldo como alcalde de Juárez,Con la finalidad de generar más recursos municipales para invertir en programas que beneficien a todos los habitantes de Juárez el alcalde Félix Arratia...,Noticias Nuevo León,https://noticiasnuevoleon.com.mx/2024/10/reduce-felix-arratia-su-sueldo-como-alcalde-de-juarez/,1UurGnBAZkGEAFqXX7DG5gcVVn9QPO_fh,9/10/2024
Félix Arratia busca liquidar deudas ciudadanas con AyD,Emprende una brigada de liquidación de deudas en la plaza municipal con la que espera beneficiar a 40000 juarenses.,La Política Online,https://www.lapoliticaonline.com/mexico/en-foco-mx/felix-arratia-busca-liquidar-deudas-ciudadanas-con-ayd/,1dGItUeBqEaiyYmrXwKBrNGe0zBSGdEB7,9/10/2024
Alcalde de Juárez en conjunto con AyD anuncian programa “Líquida Ahorra”,Juárez.- El alcalde de Juárez Félix Arratia en compañía de Juan Ignacio Barragán titular de Agua y Drenaje de Monterrey anunció el programa “Líquida...,ABCNoticias.MX,https://abcnoticias.mx/local/2024/10/2/alcalde-de-juarez-en-conjunto-con-ayd-anuncian-programa-liquida-ahorra-227803.html,1xz5j_6k9KBHlrtzZRzn59crv6bwm8zL8,9/10/2024
Félix Arratia toma protesta como alcalde de Juárez; promete la extensión de la Línea 1 del Metro,“Juntos hacemos un compromiso para no defraudar la confianza que las y los juarenses nos dieron a ser un gobierno incorruptible y trabajar día y noche para...,ABCNoticias.MX,https://abcnoticias.mx/local/2024/9/29/felix-arratia-toma-protesta-como-alcalde-de-juarez-promete-la-extension-de-la-linea-del-metro-227502.html,1noi0xpFtOeEmV5jwOTgkoT3kmZFImrbR,9/10/2024
Van contra motociclistas ruidosos en Juárez NL; alcalde los pone a barrer calles,Durante el primer filtro realizado se retiraron de la circulación 50 vehículos ... El alcalde de Juárez Nuevo León Félix Arratia le declaró la “guerra” a los...,Reporte Indigo,https://www.reporteindigo.com/reporte/van-contra-motociclistas-ruidosos-en-juarez-nuevo-leon-alcalde-los-pone-a-barrer-calles/,18rwhFZWgYHyyQdxVg8s2fLo-YOTeqeLq,12/10/2024
Félix Arratia anuncia informe regional de Samuel García en Juárez Nuevo León,El gobernador Samuel García ofrecerá su informe de la Región Periférica en Juárez como parte de su gira 'Por Todo Nuevo León'.,POSTA,https://www.posta.com.mx/nuevoleon/felix-arratia-anuncia-informe-regional-de-samuel-garcia-en-juarez-nuevo-leon/vl1623060,14Pf9qku5iU39pa1nkzW8a4MmYYql2Z80,12/10/2024
Félix Arratia y Manuel Guerra inician gestiones con el pie derecho en preferencia,Arrancan fuertes. Los alcaldes de Juárez el emecista Félix Arratia y de García el morenista Manuel Guerra arrancan sus administraciones con un buen...,ABCNoticias.MX,https://abcnoticias.mx/opinion/2024/10/14/felix-arratia-manuel-guerra-inician-gestiones-con-el-pie-derecho-en-preferencia-228819.html,1QxlIl7NaIR7ekxEqpk0017Fs1EQMu7RK,12/10/2024
Detecta Félix Arratia falta de áreas públicas en 40 fraccionamientos de Juárez,Félix Arratia alcalde juarense describió que a dos semanas de haber comenzado la administración detectaron esta anomalía en el área de desarrollo urbano.,ABCNoticias.MX,https://abcnoticias.mx/local/2024/10/14/detecta-felix-arratia-falta-de-areas-publicas-en-40-fraccionamientos-de-juarez-228881.html,1wmi1lv8fSRt0OvOsDUyaUwXuy5xNFKho,12/10/2024
Félix Arratia promueve el diálogo con vecinos para combatir la inseguridad en Juárez,Félix Arratia alcalde de Juárez informó que su secretario de seguridad frecuentemente visita las colonias de Juárez para conocer las necesidades de los...,ABCNoticias.MX,https://abcnoticias.mx/local/2024/10/14/felix-arratia-promueve-el-dialogo-con-vecinos-para-combatir-la-inseguridad-en-juarez-228885.html,1eeswyqijrKK9OEQa7duA38XuZMT1KG9r,12/10/2024
Samuel García presume inversión extranjera de 68 mil mdd durante informe en Juárez NL,Samuel García aseguró que los próximos tres años de gobierno serán mejores para Juárez. Samuel García gobernador de Nuevo León. Créditos: Adriana Garcino / ABC...,ABCNoticias.MX,https://abcnoticias.mx/local/2024/10/16/samuel-garcia-presume-inversion-extranjera-de-68-mil-mdd-durante-informe-en-juarez-nl-229115.html,1maR6OgAnNzO1ZkZAoRaJX93gY-gLMKSt,19/10/2024
Félix Arratia impulsa programa de pavimentación en Juárez,¿Qué es el programa 'Juárez Sin Baches y En Orden' de Félix Arratia? Como parte de este esfuerzo el alcalde anunció a través de sus redes sociales el avance...,POSTA,https://www.posta.com.mx/nuevoleon/felix-arratia-impulsa-programa-de-pavimentacion-en-juarez/vl1623553,1Ecdv7cHvJldYt1AwgQFWr20cXOUfIoU_,19/10/2024
DIF de Juárez ofrece alimentos altamente nutritivos a niños y adultos mayores,JUÁREZ Nuevo León.- El sistema para el Desarrollo Integral de la Familia (DIF) de Juárez ha implementado un programa de alimentación balanceada dirigido a...,POSTA,https://www.posta.com.mx/nuevoleon/dif-de-juarez-ofrece-alimentos-altamente-nutritivos-a-ninos-y-adultos-mayores/vl1627548,1O_jQXKXHS3NYhlqjUtqEz4bJ4wTvY5C4,26/10/2024
Violencia contra la mujer: implementan programa de denuncias en Juárez,Las 125 sucursales de tiendas Oxxo del municipio tendrán a disposición información para denuncias.,POSTA,https://www.posta.com.mx/nuevoleon/violencia-contra-la-mujer-implementan-programa-de-denuncias-en-juarez/v-vl1626268,1nCW-zl7INHS_8IFRd86nuLz32Hhnorpb,26/10/2024
Juárez mejora infraestructura con obras de concreto y alumbrado,Félix Arratia alcalde de Juárez Nuevo León anuncia avances en infraestructura urbana incluyendo la rehabilitación de 530 m² en la Carretera San Roque.,POSTA,https://www.posta.com.mx/nuevoleon/juarez-mejora-infraestructura-con-obras-de-concreto-y-alumbrado/v-vl1627330,1Z2M1m1PYDoXqIvv7xf0cEjoRE8CF5WbD,26/10/2024
Juárez rehabilita con concreto hidráulico avenidas dañadas por lluvias,El alcalde Félix Arratia recién anunció la apertura de la Carretera a San Roque.,ABCNoticias.MX,https://abcnoticias.mx/local/2024/10/28/juarez-rehabilita-con-concreto-hidraulico-avenidas-danadas-por-lluvias-230131.html,1ksji_ntmR-4TDGvu_QhmuDZW-8-gFc4n,26/10/2024
Félix Arratia: una visión transformadora para Juárez y Nuevo León,MONTERREY Nuevo León.- En el marco del tercer informe de gobierno del gobernador Samuel García el alcalde de Juárez Nuevo León Félix Arratia...,POSTA,https://www.posta.com.mx/nuevoleon/felix-arratia-una-vision-transformadora-para-juarez-y-nuevo-leon/v-vl1627028,1A_vy89XuxfKJAP_oimXI-xthojomvarv,26/10/2024
Félix Arratia descarta aumento de impuesto predial,El alcalde de Juárez Félix Arratia informó que su administración no aplicará aumentos en impuestos municipales incluyendo el impuesto predial.,La Política Online,https://www.lapoliticaonline.com/mexico/en-foco-mx/felix-arratia-descarta-aumento-de-impuesto-predial/,1ydwCV0xJZnqJ0LiFUtCggGQ4LY84YmJo,26/10/2024
Félix Arratia anuncia que no habrá aumento de impuestos en Juárez,Juárez.- Félix Arratia alcalde de Juárez afirmó que no habrá aumento de impuestos municipales incluyendo el impuesto al predial.,ABCNoticias.MX,https://abcnoticias.mx/local/2024/10/24/felix-arratia-anuncia-que-no-habra-aumento-de-impuestos-en-juarez-229805.html,1ev8nOxzL_IV3od2BB0VO8cngVXASCy4w,26/10/2024
Alcalde de Juárez anuncia obras de rehabilitación integral en avenida Acueducto,El alcalde Félix Arratia informó a través de Facebook sobre el inicio de trabajos en la Avenida Acueducto destacando el uso de materiales duraderos y...,POSTA,https://www.posta.com.mx/nuevoleon/alcalde-de-juarez-anuncia-obras-de-rehabilitacion-integral-en-avenida-acueducto/vl1625932,,26/10/2024
Camiones recolectores de basura: estas colonias recorrerán las nuevas unidades,El alcalde de Juárez Félix Arratia aseguró que serán 32 las colonias que verán un incremento en la frecuencia del servicio.,POSTA,https://www.posta.com.mx/nuevoleon/camiones-recolectores-de-basura-estas-colonias-recorreran-las-nuevas-unidades/vl1625978,1-sEEkg4edJ1wXDLu_5E3Wr_0Kb8_viyW,26/10/2024
Entrega Félix nuevas unidades de recolección de basura,A fin de dar un servicio de calidad en la recolección de basura en Juárez Nuevo León.,El Porvenir,https://elporvenir.mx/local/entrega-felix-nuevas-unidades-de-recoleccion-de-basura/785785,16P1tnDxRUPVgQNxkIVlaSafIIPLcWDhM,26/10/2024
Juárez suma 6 nuevos camiones recolectores de basura,Juárez. - El alcalde de Juárez Félix Arratia llevó a cabo la inauguración oficial de seis nuevos camiones de recolección de basura ello con el objetivo...,ABCNoticias MX,https://abcnoticias.mx/local/2024/10/22/juarez-suma-nuevos-camiones-recolectores-de-basura-229616.html,10BYvLftC5_ciIx46IAQs-xaA3vrnAFPF,26/10/2024
Hombre es rescatado tras caer dentro de noria en Juárez Nuevo León; tropezó al hacer maniobras | VIDEO,Un hombre fue rescatado luego de caer dentro de una noria en Juárez Nuevo León.,Telediario CDMX,https://www.telediario.mx/policia/juarez-nuevo-leon-rescatan-hombre-cayo-noria,13Xfb727lxMNEv8GZdpRcLRIqmw0X_A8j,2/11/2024
Juárez firma compromiso para los derechos de la infancia,Juárez instala Consejo para la protección de niños niñas y adolescentes.,POSTA,https://www.posta.com.mx/nuevoleon/juarez-firma-compromiso-para-los-derechos-de-la-infancia/vl1628589,1DkHcgCD7ON-EJB_WaeTJ2m2l35T6JeOz,2/11/2024
DIF Juárez ofrece alimentos de calidad,La administración busca beneficiar a adultos mayores y a infantes mediante nutrición certificada y balanceada.,La Política Online,https://www.lapoliticaonline.com/mexico/en-foco-mx/dif-juarez-ofrece-alimentos-de-calidad/,1gsXOYz3HhofqT8BufBz1UOhNoZqAEVpl,2/11/2024
Juárez suma 182 motos ruidosas retiradas de las calles,Juárez. – El municipio de Juárez suma un total de 182 motocicletas ruidosas retiradas desde que el alcalde Félix Arratia anunció que establecerían un...,ABCNoticias.MX,https://abcnoticias.mx/seguridad/2024/11/1/juarez-suma-182-motos-ruidosas-retiradas-de-las-calles-230576.html,1z4FxqkXc5teXHoRwZxZoyT9eavFBN_NF,2/11/2024
Arrancan operativos de seguridad en panteones de Juárez,Monterrey.- Con el fin de asegurar la protección de los visitantes durante las festividades del Día de Muertos el alcalde de Juárez Félix Arratia...,ABCNoticias MX,https://abcnoticias.mx/local/2024/10/30/arrancan-operativos-de-seguridad-en-panteones-de-juarez-230369.html,1XE0BPhnGk3ZGXLqkryl-8Oig2Cd598VJ,2/11/2024
Félix Arratia alcalde de Juárez reporta avances de su administración,El alcalde Félix Arratia informa a la comunidad de Juárez sobre los logros y proyectos en curso de su administración destacando mejoras en infraestructura...,POSTA,https://www.posta.com.mx/nuevoleon/felix-arratia-alcalde-de-juarez-reporta-avances-de-su-administracion/vl1629360,,4/11/2024
Félix Arratia: Seguridad transformación y participación ciudadana para Juárez,Félix Arratia comparte su visión para mejorar la seguridad la imagen urbana y la participación en Juárez.,POSTA,https://www.posta.com.mx/media/felix-arratia-seguridad-transformacion-y-participacion-ciudadana-para-juarez/vl1630634,1vlQWi_H7dhJUlzI6ve6u48S5D0JUc7Tu,7/11/2024
Alcalde de Juárez Félix Arratia reporta avances en iluminación y pavimentación en el municipio,El alcalde Félix Arratia informó sobre los avances en la reparación y mantenimiento de luminarias y la rehabilitación de pavimento en Juárez Nuevo León.,POSTA,https://www.posta.com.mx/nuevoleon/alcalde-de-juarez-felix-arratia-reporta-avances-en-iluminacion-y-pavimentacion-en-el-municipio/vl1631300,1vBHqn4gG6eYVDGKLWcfpP8-tu6c2oPyE,9/11/2024
Va Estado por Línea 8 del Metro; cruzará Guadalupe y Juárez,El gobernador Samuel García señaló que buscan arrancar próximamente la construcción de la Línea 8 para que esté lista para el Mundial de 2026.,El Horizonte,https://www.elhorizonte.mx/nuevoleon/va-estado-por-linea-8-del-metro-cruzara-guadalupe-y-juarez/5608527522,1h4S55_cKIjCHQJt5sPTmAZFqo5HHkGrs,7/6/2024
Encuentro Ciudadano en Juárez: Félix Arratia invita a recibir servicios y apoyos,Encuentro Ciudadano refuerza el compromiso de la administración de Félix Arratia con la transparencia la participación activa y la atención directa a las...,POSTA,https://www.posta.com.mx/nuevoleon/encuentro-ciudadano-en-juarez-felix-arratia-invita-a-recibir-servicios-y-apoyos/v-vl1622570,1ZdMQIyXV2nUPM6Y1MQgjIiAP6p2VI4ZX,10/10/2024
Félix Arriata anuncia rehabilitación del Panteón Municipal de Juárez,Félix Arriata informa sobre los trabajos de mejora en el Panteón Rosario 1 para recibir a las familias en un ambiente digno y limpio.,POSTA,https://www.posta.com.mx/nuevoleon/felix-arriata-anuncia-rehabilitacion-del-panteon-municipal-de-juarez/vl1625622,1Q4HxX9H47rs36c_dyVUfWEjs7mgx4Ozw,20/10/2024
Anuncia Félix Arratia que en Juárez no habrá aumento al predial,El alcalde de Juárez Félix Arratia anunció que su administración no aplicará aumentos en impuestos municipales como el predial.,Noticias Nuevo León,https://noticiasnuevoleon.com.mx/2024/10/anuncia-felix-arratia-que-en-juarez-no-habra-aumento-al-predial/,1UB9D-rzaeb_bW-ZvCnS1RLTrII61Nkeo,27/10/2024
Concientizarán Estado Municipio de Juárez y cadena comercial OXXO sobre la defensa de las mujeres,Resalta Secretaría de Las Mujeres importancia de dar información y apoyar denuncias sobre este tema; Inician campaña en 125 tiendas de la firma en ese...,Gobierno del Estado de Nuevo León,https://www.nl.gob.mx/es/boletines/concientizaran-estado-municipio-de-juarez-y-cadena-comercial-oxxo-sobre-la-defensa-de-las,1jZG3xWe3_PWam7x2OcGkQZGaxKiu4FxB,27/10/2024
